"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2008","Newfoundland and Labrador","2021A000210","All-items","2002=100","17","units","0","v41693542","3.2","114.3","","","","1"
"2009","Newfoundland and Labrador","2021A000210","All-items","2002=100","17","units","0","v41693542","3.2","114.6","","","","1"
"2010","Newfoundland and Labrador","2021A000210","All-items","2002=100","17","units","0","v41693542","3.2","117.4","","","","1"
"2011","Newfoundland and Labrador","2021A000210","All-items","2002=100","17","units","0","v41693542","3.2","121.4","","","","1"
"2012","Newfoundland and Labrador","2021A000210","All-items","2002=100","17","units","0","v41693542","3.2","123.9","","","","1"
"2013","Newfoundland and Labrador","2021A000210","All-items","2002=100","17","units","0","v41693542","3.2","126.0","","","","1"
"2014","Newfoundland and Labrador","2021A000210","All-items","2002=100","17","units","0","v41693542","3.2","128.4","","","","1"
"2015","Newfoundland and Labrador","2021A000210","All-items","2002=100","17","units","0","v41693542","3.2","129.0","","","","1"
"2016","Newfoundland and Labrador","2021A000210","All-items","2002=100","17","units","0","v41693542","3.2","132.5","","","","1"
"2017","Newfoundland and Labrador","2021A000210","All-items","2002=100","17","units","0","v41693542","3.2","135.7","","","","1"
"2018","Newfoundland and Labrador","2021A000210","All-items","2002=100","17","units","0","v41693542","3.2","137.9","","","","1"
"2019","Newfoundland and Labrador","2021A000210","All-items","2002=100","17","units","0","v41693542","3.2","139.3","","","","1"
"2020","Newfoundland and Labrador","2021A000210","All-items","2002=100","17","units","0","v41693542","3.2","139.6","","","","1"
"2021","Newfoundland and Labrador","2021A000210","All-items","2002=100","17","units","0","v41693542","3.2","144.7","","","","1"
"2022","Newfoundland and Labrador","2021A000210","All-items","2002=100","17","units","0","v41693542","3.2","153.9","","","","1"
"2023","Newfoundland and Labrador","2021A000210","All-items","2002=100","17","units","0","v41693542","3.2","159.0","","","","1"
"2024","Newfoundland and Labrador","2021A000210","All-items","2002=100","17","units","0","v41693542","3.2","161.9","","","","1"
"2008","Prince Edward Island","2021A000211","All-items","2002=100","17","units","0","v41693677","5.2","117.5","","","","1"
"2009","Prince Edward Island","2021A000211","All-items","2002=100","17","units","0","v41693677","5.2","117.3","","","","1"
"2010","Prince Edward Island","2021A000211","All-items","2002=100","17","units","0","v41693677","5.2","119.5","","","","1"
"2011","Prince Edward Island","2021A000211","All-items","2002=100","17","units","0","v41693677","5.2","123.0","","","","1"
"2012","Prince Edward Island","2021A000211","All-items","2002=100","17","units","0","v41693677","5.2","125.5","","","","1"
"2013","Prince Edward Island","2021A000211","All-items","2002=100","17","units","0","v41693677","5.2","128.0","","","","1"
"2014","Prince Edward Island","2021A000211","All-items","2002=100","17","units","0","v41693677","5.2","130.1","","","","1"
"2015","Prince Edward Island","2021A000211","All-items","2002=100","17","units","0","v41693677","5.2","129.3","","","","1"
"2016","Prince Edward Island","2021A000211","All-items","2002=100","17","units","0","v41693677","5.2","130.8","","","","1"
"2017","Prince Edward Island","2021A000211","All-items","2002=100","17","units","0","v41693677","5.2","133.2","","","","1"
"2018","Prince Edward Island","2021A000211","All-items","2002=100","17","units","0","v41693677","5.2","136.3","","","","1"
"2019","Prince Edward Island","2021A000211","All-items","2002=100","17","units","0","v41693677","5.2","137.9","","","","1"
"2020","Prince Edward Island","2021A000211","All-items","2002=100","17","units","0","v41693677","5.2","137.9","","","","1"
"2021","Prince Edward Island","2021A000211","All-items","2002=100","17","units","0","v41693677","5.2","144.9","","","","1"
"2022","Prince Edward Island","2021A000211","All-items","2002=100","17","units","0","v41693677","5.2","157.8","","","","1"
"2023","Prince Edward Island","2021A000211","All-items","2002=100","17","units","0","v41693677","5.2","162.3","","","","1"
"2024","Prince Edward Island","2021A000211","All-items","2002=100","17","units","0","v41693677","5.2","165.3","","","","1"
"2008","Nova Scotia","2021A000212","All-items","2002=100","17","units","0","v41693811","7.2","115.9","","","","1"
"2009","Nova Scotia","2021A000212","All-items","2002=100","17","units","0","v41693811","7.2","115.7","","","","1"
"2010","Nova Scotia","2021A000212","All-items","2002=100","17","units","0","v41693811","7.2","118.2","","","","1"
"2011","Nova Scotia","2021A000212","All-items","2002=100","17","units","0","v41693811","7.2","122.7","","","","1"
"2012","Nova Scotia","2021A000212","All-items","2002=100","17","units","0","v41693811","7.2","125.1","","","","1"
"2013","Nova Scotia","2021A000212","All-items","2002=100","17","units","0","v41693811","7.2","126.6","","","","1"
"2014","Nova Scotia","2021A000212","All-items","2002=100","17","units","0","v41693811","7.2","128.8","","","","1"
"2015","Nova Scotia","2021A000212","All-items","2002=100","17","units","0","v41693811","7.2","129.3","","","","1"
"2016","Nova Scotia","2021A000212","All-items","2002=100","17","units","0","v41693811","7.2","130.9","","","","1"
"2017","Nova Scotia","2021A000212","All-items","2002=100","17","units","0","v41693811","7.2","132.4","","","","1"
"2018","Nova Scotia","2021A000212","All-items","2002=100","17","units","0","v41693811","7.2","135.3","","","","1"
"2019","Nova Scotia","2021A000212","All-items","2002=100","17","units","0","v41693811","7.2","137.5","","","","1"
"2020","Nova Scotia","2021A000212","All-items","2002=100","17","units","0","v41693811","7.2","137.9","","","","1"
"2021","Nova Scotia","2021A000212","All-items","2002=100","17","units","0","v41693811","7.2","143.5","","","","1"
"2022","Nova Scotia","2021A000212","All-items","2002=100","17","units","0","v41693811","7.2","154.3","","","","1"
"2023","Nova Scotia","2021A000212","All-items","2002=100","17","units","0","v41693811","7.2","160.5","","","","1"
"2024","Nova Scotia","2021A000212","All-items","2002=100","17","units","0","v41693811","7.2","164.2","","","","1"
"2008","New Brunswick","2021A000213","All-items","2002=100","17","units","0","v41693946","9.2","113.2","","","","1"
"2009","New Brunswick","2021A000213","All-items","2002=100","17","units","0","v41693946","9.2","113.5","","","","1"
"2010","New Brunswick","2021A000213","All-items","2002=100","17","units","0","v41693946","9.2","115.9","","","","1"
"2011","New Brunswick","2021A000213","All-items","2002=100","17","units","0","v41693946","9.2","120.0","","","","1"
"2012","New Brunswick","2021A000213","All-items","2002=100","17","units","0","v41693946","9.2","122.0","","","","1"
"2013","New Brunswick","2021A000213","All-items","2002=100","17","units","0","v41693946","9.2","123.0","","","","1"
"2014","New Brunswick","2021A000213","All-items","2002=100","17","units","0","v41693946","9.2","124.8","","","","1"
"2015","New Brunswick","2021A000213","All-items","2002=100","17","units","0","v41693946","9.2","125.4","","","","1"
"2016","New Brunswick","2021A000213","All-items","2002=100","17","units","0","v41693946","9.2","128.2","","","","1"
"2017","New Brunswick","2021A000213","All-items","2002=100","17","units","0","v41693946","9.2","131.2","","","","1"
"2018","New Brunswick","2021A000213","All-items","2002=100","17","units","0","v41693946","9.2","134.0","","","","1"
"2019","New Brunswick","2021A000213","All-items","2002=100","17","units","0","v41693946","9.2","136.3","","","","1"
"2020","New Brunswick","2021A000213","All-items","2002=100","17","units","0","v41693946","9.2","136.6","","","","1"
"2021","New Brunswick","2021A000213","All-items","2002=100","17","units","0","v41693946","9.2","141.8","","","","1"
"2022","New Brunswick","2021A000213","All-items","2002=100","17","units","0","v41693946","9.2","152.1","","","","1"
"2023","New Brunswick","2021A000213","All-items","2002=100","17","units","0","v41693946","9.2","157.5","","","","1"
"2024","New Brunswick","2021A000213","All-items","2002=100","17","units","0","v41693946","9.2","161.0","","","","1"
"2008","Quebec","2021A000224","All-items","2002=100","17","units","0","v41694081","11.2","112.7","","","","1"
"2009","Quebec","2021A000224","All-items","2002=100","17","units","0","v41694081","11.2","113.4","","","","1"
"2010","Quebec","2021A000224","All-items","2002=100","17","units","0","v41694081","11.2","114.8","","","","1"
"2011","Quebec","2021A000224","All-items","2002=100","17","units","0","v41694081","11.2","118.3","","","","1"
"2012","Quebec","2021A000224","All-items","2002=100","17","units","0","v41694081","11.2","120.8","","","","1"
"2013","Quebec","2021A000224","All-items","2002=100","17","units","0","v41694081","11.2","121.7","","","","1"
"2014","Quebec","2021A000224","All-items","2002=100","17","units","0","v41694081","11.2","123.4","","","","1"
"2015","Quebec","2021A000224","All-items","2002=100","17","units","0","v41694081","11.2","124.7","","","","1"
"2016","Quebec","2021A000224","All-items","2002=100","17","units","0","v41694081","11.2","125.6","","","","1"
"2017","Quebec","2021A000224","All-items","2002=100","17","units","0","v41694081","11.2","126.9","","","","1"
"2018","Quebec","2021A000224","All-items","2002=100","17","units","0","v41694081","11.2","129.0","","","","1"
"2019","Quebec","2021A000224","All-items","2002=100","17","units","0","v41694081","11.2","131.7","","","","1"
"2020","Quebec","2021A000224","All-items","2002=100","17","units","0","v41694081","11.2","132.8","","","","1"
"2021","Quebec","2021A000224","All-items","2002=100","17","units","0","v41694081","11.2","137.8","","","","1"
"2022","Quebec","2021A000224","All-items","2002=100","17","units","0","v41694081","11.2","147.0","","","","1"
"2023","Quebec","2021A000224","All-items","2002=100","17","units","0","v41694081","11.2","153.6","","","","1"
"2024","Quebec","2021A000224","All-items","2002=100","17","units","0","v41694081","11.2","157.2","","","","1"
"2008","Ontario","2021A000235","All-items","2002=100","17","units","0","v41694217","14.2","113.3","","","","1"
"2009","Ontario","2021A000235","All-items","2002=100","17","units","0","v41694217","14.2","113.7","","","","1"
"2010","Ontario","2021A000235","All-items","2002=100","17","units","0","v41694217","14.2","116.5","","","","1"
"2011","Ontario","2021A000235","All-items","2002=100","17","units","0","v41694217","14.2","120.1","","","","1"
"2012","Ontario","2021A000235","All-items","2002=100","17","units","0","v41694217","14.2","121.8","","","","1"
"2013","Ontario","2021A000235","All-items","2002=100","17","units","0","v41694217","14.2","123.0","","","","1"
"2014","Ontario","2021A000235","All-items","2002=100","17","units","0","v41694217","14.2","125.9","","","","1"
"2015","Ontario","2021A000235","All-items","2002=100","17","units","0","v41694217","14.2","127.4","","","","1"
"2016","Ontario","2021A000235","All-items","2002=100","17","units","0","v41694217","14.2","129.7","","","","1"
"2017","Ontario","2021A000235","All-items","2002=100","17","units","0","v41694217","14.2","131.9","","","","1"
"2018","Ontario","2021A000235","All-items","2002=100","17","units","0","v41694217","14.2","135.0","","","","1"
"2019","Ontario","2021A000235","All-items","2002=100","17","units","0","v41694217","14.2","137.5","","","","1"
"2020","Ontario","2021A000235","All-items","2002=100","17","units","0","v41694217","14.2","138.4","","","","1"
"2021","Ontario","2021A000235","All-items","2002=100","17","units","0","v41694217","14.2","143.2","","","","1"
"2022","Ontario","2021A000235","All-items","2002=100","17","units","0","v41694217","14.2","152.9","","","","1"
"2023","Ontario","2021A000235","All-items","2002=100","17","units","0","v41694217","14.2","158.7","","","","1"
"2024","Ontario","2021A000235","All-items","2002=100","17","units","0","v41694217","14.2","162.5","","","","1"
"2008","Manitoba","2021A000246","All-items","2002=100","17","units","0","v41694353","18.2","113.4","","","","1"
"2009","Manitoba","2021A000246","All-items","2002=100","17","units","0","v41694353","18.2","114.1","","","","1"
"2010","Manitoba","2021A000246","All-items","2002=100","17","units","0","v41694353","18.2","115.0","","","","1"
"2011","Manitoba","2021A000246","All-items","2002=100","17","units","0","v41694353","18.2","118.4","","","","1"
"2012","Manitoba","2021A000246","All-items","2002=100","17","units","0","v41694353","18.2","120.3","","","","1"
"2013","Manitoba","2021A000246","All-items","2002=100","17","units","0","v41694353","18.2","123.0","","","","1"
"2014","Manitoba","2021A000246","All-items","2002=100","17","units","0","v41694353","18.2","125.3","","","","1"
"2015","Manitoba","2021A000246","All-items","2002=100","17","units","0","v41694353","18.2","126.8","","","","1"
"2016","Manitoba","2021A000246","All-items","2002=100","17","units","0","v41694353","18.2","128.4","","","","1"
"2017","Manitoba","2021A000246","All-items","2002=100","17","units","0","v41694353","18.2","130.5","","","","1"
"2018","Manitoba","2021A000246","All-items","2002=100","17","units","0","v41694353","18.2","133.8","","","","1"
"2019","Manitoba","2021A000246","All-items","2002=100","17","units","0","v41694353","18.2","136.8","","","","1"
"2020","Manitoba","2021A000246","All-items","2002=100","17","units","0","v41694353","18.2","137.5","","","","1"
"2021","Manitoba","2021A000246","All-items","2002=100","17","units","0","v41694353","18.2","142.0","","","","1"
"2022","Manitoba","2021A000246","All-items","2002=100","17","units","0","v41694353","18.2","153.2","","","","1"
"2023","Manitoba","2021A000246","All-items","2002=100","17","units","0","v41694353","18.2","158.6","","","","1"
"2024","Manitoba","2021A000246","All-items","2002=100","17","units","0","v41694353","18.2","160.3","","","","1"
"2008","Saskatchewan","2021A000247","All-items","2002=100","17","units","0","v41694489","20.2","115.9","","","","1"
"2009","Saskatchewan","2021A000247","All-items","2002=100","17","units","0","v41694489","20.2","117.1","","","","1"
"2010","Saskatchewan","2021A000247","All-items","2002=100","17","units","0","v41694489","20.2","118.7","","","","1"
"2011","Saskatchewan","2021A000247","All-items","2002=100","17","units","0","v41694489","20.2","122.0","","","","1"
"2012","Saskatchewan","2021A000247","All-items","2002=100","17","units","0","v41694489","20.2","123.9","","","","1"
"2013","Saskatchewan","2021A000247","All-items","2002=100","17","units","0","v41694489","20.2","125.7","","","","1"
"2014","Saskatchewan","2021A000247","All-items","2002=100","17","units","0","v41694489","20.2","128.7","","","","1"
"2015","Saskatchewan","2021A000247","All-items","2002=100","17","units","0","v41694489","20.2","130.8","","","","1"
"2016","Saskatchewan","2021A000247","All-items","2002=100","17","units","0","v41694489","20.2","132.2","","","","1"
"2017","Saskatchewan","2021A000247","All-items","2002=100","17","units","0","v41694489","20.2","134.4","","","","1"
"2018","Saskatchewan","2021A000247","All-items","2002=100","17","units","0","v41694489","20.2","137.5","","","","1"
"2019","Saskatchewan","2021A000247","All-items","2002=100","17","units","0","v41694489","20.2","139.9","","","","1"
"2020","Saskatchewan","2021A000247","All-items","2002=100","17","units","0","v41694489","20.2","140.7","","","","1"
"2021","Saskatchewan","2021A000247","All-items","2002=100","17","units","0","v41694489","20.2","144.4","","","","1"
"2022","Saskatchewan","2021A000247","All-items","2002=100","17","units","0","v41694489","20.2","153.9","","","","1"
"2023","Saskatchewan","2021A000247","All-items","2002=100","17","units","0","v41694489","20.2","160.0","","","","1"
"2024","Saskatchewan","2021A000247","All-items","2002=100","17","units","0","v41694489","20.2","162.3","","","","1"
"2008","Alberta","2021A000248","All-items","2002=100","17","units","0","v41694625","23.2","121.6","","","","1"
"2009","Alberta","2021A000248","All-items","2002=100","17","units","0","v41694625","23.2","121.5","","","","1"
"2010","Alberta","2021A000248","All-items","2002=100","17","units","0","v41694625","23.2","122.7","","","","1"
"2011","Alberta","2021A000248","All-items","2002=100","17","units","0","v41694625","23.2","125.7","","","","1"
"2012","Alberta","2021A000248","All-items","2002=100","17","units","0","v41694625","23.2","127.1","","","","1"
"2013","Alberta","2021A000248","All-items","2002=100","17","units","0","v41694625","23.2","128.9","","","","1"
"2014","Alberta","2021A000248","All-items","2002=100","17","units","0","v41694625","23.2","132.2","","","","1"
"2015","Alberta","2021A000248","All-items","2002=100","17","units","0","v41694625","23.2","133.7","","","","1"
"2016","Alberta","2021A000248","All-items","2002=100","17","units","0","v41694625","23.2","135.2","","","","1"
"2017","Alberta","2021A000248","All-items","2002=100","17","units","0","v41694625","23.2","137.3","","","","1"
"2018","Alberta","2021A000248","All-items","2002=100","17","units","0","v41694625","23.2","140.6","","","","1"
"2019","Alberta","2021A000248","All-items","2002=100","17","units","0","v41694625","23.2","143.1","","","","1"
"2020","Alberta","2021A000248","All-items","2002=100","17","units","0","v41694625","23.2","144.7","","","","1"
"2021","Alberta","2021A000248","All-items","2002=100","17","units","0","v41694625","23.2","149.3","","","","1"
"2022","Alberta","2021A000248","All-items","2002=100","17","units","0","v41694625","23.2","158.9","","","","1"
"2023","Alberta","2021A000248","All-items","2002=100","17","units","0","v41694625","23.2","164.1","","","","1"
"2024","Alberta","2021A000248","All-items","2002=100","17","units","0","v41694625","23.2","168.9","","","","1"
"2008","British Columbia","2021A000259","All-items","2002=100","17","units","0","v41694760","26.2","112.3","","","","1"
"2009","British Columbia","2021A000259","All-items","2002=100","17","units","0","v41694760","26.2","112.3","","","","1"
"2010","British Columbia","2021A000259","All-items","2002=100","17","units","0","v41694760","26.2","113.8","","","","1"
"2011","British Columbia","2021A000259","All-items","2002=100","17","units","0","v41694760","26.2","116.5","","","","1"
"2012","British Columbia","2021A000259","All-items","2002=100","17","units","0","v41694760","26.2","117.8","","","","1"
"2013","British Columbia","2021A000259","All-items","2002=100","17","units","0","v41694760","26.2","117.7","","","","1"
"2014","British Columbia","2021A000259","All-items","2002=100","17","units","0","v41694760","26.2","118.9","","","","1"
"2015","British Columbia","2021A000259","All-items","2002=100","17","units","0","v41694760","26.2","120.2","","","","1"
"2016","British Columbia","2021A000259","All-items","2002=100","17","units","0","v41694760","26.2","122.4","","","","1"
"2017","British Columbia","2021A000259","All-items","2002=100","17","units","0","v41694760","26.2","125.0","","","","1"
"2018","British Columbia","2021A000259","All-items","2002=100","17","units","0","v41694760","26.2","128.4","","","","1"
"2019","British Columbia","2021A000259","All-items","2002=100","17","units","0","v41694760","26.2","131.4","","","","1"
"2020","British Columbia","2021A000259","All-items","2002=100","17","units","0","v41694760","26.2","132.4","","","","1"
"2021","British Columbia","2021A000259","All-items","2002=100","17","units","0","v41694760","26.2","136.1","","","","1"
"2022","British Columbia","2021A000259","All-items","2002=100","17","units","0","v41694760","26.2","145.5","","","","1"
"2023","British Columbia","2021A000259","All-items","2002=100","17","units","0","v41694760","26.2","151.2","","","","1"
"2024","British Columbia","2021A000259","All-items","2002=100","17","units","0","v41694760","26.2","155.2","","","","1"


